,Symbol,Company Name,Last Price,Change,% Change,Volume
0,ITC.NS,ITC Limited,209.95,0.05,+0.02%,17930895.0
1,NTPC.NS,NTPC Limited,112.5,-0.05,-0.04%,28216263.0
2,SHREECEM.NS,Shree Cement Limited,27674.45,15.7,+0.06%,33643.0
3,CIPLA.NS,Cipla Limited,811.2,-0.6,-0.07%,2857773.0
4,ONGC.NS,Oil and Natural Gas Corporation Limited,113.7,0.2,+0.18%,17073104.0
5,TITAN.NS,Titan Company Limited,1474.85,3.7,+0.25%,1125118.0
6,LT.NS,Larsen & Toubro Limited,1497.2,11.55,+0.78%,1955840.0
7,NESTLEIND.NS,Nestlé India Limited,16706.0,129.85,+0.78%,83456.0
8,BHARTIARTL.NS,Bharti Airtel Limited,545.75,4.55,+0.84%,22400505.0
9,BRITANNIA.NS,Britannia Industries Limited,3480.15,32.2,+0.93%,350532.0
10,TECHM.NS,Tech Mahindra Limited,976.2,9.1,+0.94%,2973087.0
11,COALINDIA.NS,Coal India Limited,154.95,1.55,+1.01%,15969542.0
12,HDFCLIFE.NS,HDFC Life Insurance Company Limited,728.75,7.95,+1.10%,1524016.0
13,BAJAJ-AUTO.NS,Bajaj Auto Limited,3900.05,-44.0,-1.12%,546279.0
14,WIPRO.NS,Wipro Limited,435.25,4.85,+1.13%,7852643.0
15,ULTRACEMCO.NS,UltraTech Cement Limited,6498.0,74.9,+1.17%,420155.0
16,MARUTI.NS,Maruti Suzuki India Limited,7120.4,-93.7,-1.30%,701682.0
17,GAIL.NS,GAIL (India) Limited,146.9,2.1,+1.45%,14994614.0
18,GRASIM.NS,Grasim Industries Limited,1314.35,19.6,+1.51%,2098321.0
19,HEROMOTOCO.NS,Hero MotoCorp Limited,3420.65,-55.75,-1.60%,877714.0
20,TCS.NS,Tata Consultancy Services Limited,3062.0,55.65,+1.85%,3174816.0
21,INDUSINDBK.NS,IndusInd Bank Limited,1099.55,26.2,+2.44%,5022180.0
22,HINDALCO.NS,Hindalco Industries Limited,359.0,13.75,+3.98%,18370693.0
23,BAJFINANCE.NS,Bajaj Finance Limited,5530.6,214.3,+4.03%,2006626.0
24,MM.NS,MM.NS,,,,
25,KOTAKBANK.NS,Kotak Mahindra Bank Limited,1900.75,56.1,+3.04%,2633640.0
26,ICICIBANK.NS,ICICI Bank Limited,631.95,21.45,+3.51%,18566289.0
27,RELIANCE.NS,Reliance Industries Limited,2198.6,92.6,+4.40%,11469779.0
28,BAJAJFINSV.NS,Bajaj Finserv Ltd.,10383.1,506.1,+5.12%,414491.0
29,TATASTEEL.NS,Tata Steel Limited,777.8,42.3,+5.75%,26275453.0
